,Type,CityMPG,Horsepower,RPM,Weight,Domestic
1,Small,25,140,6300,2705,0
2,Midsize,18,200,5500,3560,0
3,Compact,20,172,5500,3375,0
4,Midsize,19,172,5500,3405,0
5,Midsize,22,208,5700,3640,0
6,Midsize,22,110,5200,2880,1
7,Large,19,170,4800,3470,1
8,Large,16,180,4000,4105,1
9,Midsize,19,170,4800,3495,1
10,Large,16,200,4100,3620,1
11,Midsize,16,295,6000,3935,1
12,Compact,25,110,5200,2490,1
13,Compact,25,110,5200,2785,1
14,Sporty,19,160,4600,3240,1
15,Midsize,21,110,5200,3195,1
16,Large,17,170,4200,3910,1
17,Large,20,153,5300,3515,1
18,Compact,23,141,5000,3085,1
19,Large,20,147,4800,3570,1
20,Small,29,92,6000,2270,1
21,Small,23,93,4800,2670,1
22,Compact,22,100,4800,2970,1
23,Midsize,21,100,4800,3080,1
24,Sporty,18,300,6000,3805,1
25,Small,29,92,6000,2295,1
26,Large,20,214,5800,3490,1
27,Small,31,63,5000,1845,1
28,Small,23,127,6500,2530,1
29,Compact,22,96,4200,2690,1
30,Sporty,22,105,4600,2850,1
31,Sporty,24,115,5500,2710,1
32,Midsize,21,140,4800,3325,1
33,Large,18,190,4200,3950,1
34,Small,46,55,5700,1695,0
35,Sporty,30,90,5400,2475,0
36,Sporty,24,160,5800,2865,0
37,Small,42,102,5900,2350,0
38,Compact,24,140,5600,3040,0
39,Small,29,81,5500,2345,0
40,Small,22,124,6000,2620,0
41,Sporty,26,92,5550,2285,0
42,Midsize,20,128,6000,2885,0
43,Midsize,17,278,6000,4000,0
44,Midsize,18,185,5200,3510,0
45,Midsize,18,225,6000,3515,0
46,Midsize,17,160,4400,3695,1
47,Large,18,210,4600,4055,1
48,Small,29,82,5000,2325,0
49,Small,28,103,5500,2440,0
50,Compact,26,164,5600,2970,0
51,Compact,20,130,5100,2920,0
52,Midsize,19,217,5500,3525,0
53,Sporty,23,100,5750,2450,1
54,Midsize,19,140,3800,3610,1
55,Small,29,92,6000,2295,0
56,Midsize,18,202,6000,3730,0
57,Small,29,110,6000,2545,0
58,Compact,24,150,5600,3050,0
59,Midsize,21,160,5200,3200,0
60,Compact,24,155,6000,2910,1
61,Midsize,23,110,5200,2890,1
62,Large,19,170,4800,3470,1
63,Sporty,23,92,5000,2640,1
64,Small,31,74,5600,2350,1
65,Compact,23,110,5200,2575,1
66,Sporty,19,160,4600,3240,1
67,Midsize,19,200,5000,3450,1
68,Large,19,170,4800,3495,1
69,Compact,20,140,6000,2775,0
70,Small,28,85,5000,2495,1
71,Small,33,73,5600,2045,0
72,Small,25,90,5200,2490,0
73,Compact,23,130,5600,3085,0
74,Small,39,70,6000,1965,0
75,Small,32,82,5200,2055,0
76,Sporty,25,135,5400,2950,0
77,Midsize,22,130,5400,3030,0
78,Small,25,81,5500,2240,0
79,Compact,21,134,5800,2985,0
80,Sporty,18,178,5800,2810,0
81,Compact,21,114,5400,2985,0
82,Midsize,20,168,6200,3245,0